"subj","condition","countFix_aoi","N","n_target","n_distractor","n_dud","p_target","p_distractor","p_dud","dur_target","dur_distractor","dur_dud"
"sub06",0.3,3,120,53,58,9,0.441666666666667,0.483333333333333,0.075,0.243235788701809,0.217812487925303,0.126848222228647
"sub06",0.3,4,61,30,26,5,0.491803278688525,0.426229508196721,0.0819672131147541,0.230276906688232,0.20832740383272,0.108337299950654
"sub06",0.3,5,20,9,9,2,0.45,0.45,0.1,0.202783877728507,0.201850222242582,0.129171900029178
"sub06",0.3,6,5,2,2,1,0.4,0.4,0.2,0.116649700095877,0.433320450247266,0.1417001998052
"sub06",0.3,7,1,0,1,0,0,1,0,0,0.125006400048733,0
"sub06",0.5,1,262,106,101,55,0.404580152671756,0.385496183206107,0.209923664122137,0.185535482098546,0.189355127751714,0.139996816327965
"sub06",0.5,2,207,107,95,5,0.516908212560386,0.458937198067633,0.0241545893719807,0.218689088746916,0.183771881031632,0.114998440124327
"sub06",0.5,3,116,49,45,22,0.422413793103448,0.387931034482759,0.189655172413793,0.229248616330644,0.207779140015676,0.120454945371338
"sub06",0.5,4,59,24,28,7,0.406779661016949,0.474576271186441,0.11864406779661,0.23194632922241,0.219346914283441,0.138089642826734
"sub06",0.5,5,31,17,9,5,0.548387096774194,0.290322580645161,0.161290322580645,0.204404635252157,0.231477688897737,0.148326499952236
"sub06",0.5,6,10,5,4,1,0.5,0.4,0.1,0.161664100049529,0.206235050223768,0.0666968000296038
"sub06",0.5,7,4,1,3,0,0.25,0.75,0,0.0500230002216995,0.158318399917334,0
"sub06",0.7,1,252,100,92,60,0.396825396825397,0.365079365079365,0.238095238095238,0.213420175007486,0.196098884772927,0.155828911649102
"sub06",0.7,2,191,100,77,14,0.523560209424084,0.403141361256544,0.0732984293193717,0.19941282096348,0.175317598690503,0.114281835724666
"sub06",0.7,3,132,37,48,47,0.28030303030303,0.363636363636364,0.356060606060606,0.221839059455748,0.214408979127863,0.139541834044181
"sub06",0.7,4,69,27,27,15,0.391304347826087,0.391304347826087,0.217391304347826,0.201543992582528,0.227471403653638,0.147223593350888
"sub06",0.7,5,36,21,6,9,0.583333333333333,0.166666666666667,0.25,0.228572609518388,0.206934133350539,0.155550022221481
"sub06",0.7,6,14,5,8,1,0.357142857142857,0.571428571428571,0.0714285714285714,0.15166787999915,0.14686461252495,0.233342600055039
"sub06",0.7,7,4,1,2,1,0.25,0.5,0.25,0.075027100276202,0.129165300008026,0.324949299974833
"sub06",0.85,1,268,102,96,70,0.380597014925373,0.358208955223881,0.261194029850746,0.205636350993825,0.204858700032067,0.167974157160331
"sub06",0.85,2,221,115,66,40,0.520361990950226,0.298642533936652,0.180995475113122,0.189054622606668,0.161738812134982,0.148747974984144
"sub06",0.85,3,155,36,57,62,0.232258064516129,0.367741935483871,0.4,0.237032972236597,0.202039280731186,0.160480006445845
"sub06",0.85,4,92,42,29,21,0.456521739130435,0.315217391304348,0.228260869565217,0.227176002453364,0.234194096519034,0.178573109536609
"sub06",0.85,5,50,23,20,7,0.46,0.4,0.14,0.215575491354052,0.200836739962688,0.158331600113473
"sub06",0.85,6,17,6,8,3,0.352941176470588,0.470588235294118,0.176470588235294,0.250005600013537,0.198956412663392,0.119433800030189
"sub06",0.85,7,8,4,4,0,0.5,0.5,0,0.249993949953932,0.218756675036275,0
"sub06",0.85,8,3,2,1,0,0.666666666666667,0.333333333333333,0,0.175001650248305,0.150002699811012,0
"sub06",0.95,1,265,101,85,79,0.381132075471698,0.320754716981132,0.29811320754717,0.197438201005167,0.189607481139041,0.181852408856834
"sub06",0.95,2,206,83,67,56,0.402912621359223,0.325242718446602,0.271844660194175,0.180519455445282,0.170397173137658,0.159969757111997
"sub06",0.95,3,158,52,54,52,0.329113924050633,0.341772151898734,0.329113924050633,0.219067061534308,0.173608896286977,0.189096805778928
"sub06",0.95,4,104,33,43,28,0.317307692307692,0.413461538461538,0.269230769230769,0.228027739396291,0.201937083741054,0.215181899982521
"sub06",0.95,5,63,29,16,18,0.46031746031746,0.253968253968254,0.285714285714286,0.252294634536093,0.197400468761771,0.220359900041432
"sub06",0.95,6,28,8,12,8,0.285714285714286,0.428571428571429,0.285714285714286,0.264567487600289,0.193752891684805,0.231241400135332
"sub06",0.95,7,10,5,2,3,0.5,0.2,0.3,0.186656780063641,0.191620049765333,0.227771566783
"sub06",0.95,8,3,2,0,1,0.666666666666667,0,0.333333333333333,0.162499599624425,0,0.283352400176227
"sub06",0.95,9,1,1,0,0,1,0,0,0.258323500398546,0,0
"sub07",0,1,250,135,115,0,0.54,0.46,0,0.20944053110617,0.196516035657133,0
"sub07",0,2,211,98,113,0,0.464454976303318,0.535545023696682,0,0.277717764279092,0.248964821240237,0
"sub07",0,3,58,32,26,0,0.551724137931034,0.448275862068966,0,0.185421918760312,0.167950450006174,0
"sub07",0,4,10,4,6,0,0.4,0.6,0,0.245829425017291,0.166659866692498,0
